DATE;Median one-year ahead expected inflation rate;Median three-year ahead expected inflation rate;25th Percentile one-year ahead expected inflation rate;25th Percentile three-year ahead expected inflation rate;75th Percentile one-year ahead expected inflation rate;75th Percentile three-year ahead expected inflation rate;Median point prediction one-year ahead inflation rate;Median point prediction three-year ahead inflation rate
20130601;3,09;3,42;1,98;1,95;5,94;6,00;4,57;4,74
20130701;3,16;3,31;1,60;1,58;6,00;6,33;4,68;4,89
20130801;3,40;3,80;2,00;1,60;7,19;7,19;4,80;5,04
20130901;3,37;3,55;1,92;1,70;6,87;7,03;4,75;4,88
20131001;3,17;3,20;1,67;1,60;6,41;6,56;4,62;4,88
20131101;3,20;3,31;1,69;1,74;6,23;6,75;4,09;4,68
20131201;3,14;3,30;1,60;1,57;6,03;6,36;4,52;4,65
20140101;3,00;3,05;1,40;1,26;6,06;6,03;4,12;4,11
20140201;3,09;3,18;1,77;1,55;6,00;6,04;4,13;4,08
20140301;3,20;3,38;1,55;1,55;6,10;6,22;4,52;4,65
20140401;3,30;3,20;1,79;1,69;6,30;6,24;4,47;4,32
20140501;3,17;3,20;1,60;1,55;6,00;6,49;4,34;4,53
20140601;3,20;3,30;1,76;1,50;6,00;6,41;4,75;4,60
20140701;3,11;3,22;1,70;1,68;6,37;6,51;4,54;4,52
20140801;3,00;3,09;1,58;1,63;6,00;6,00;4,04;4,27
20140901;3,00;3,02;1,57;1,46;6,00;6,34;3,87;4,15
20141001;3,00;3,02;1,46;1,31;6,00;6,00;3,46;4,00
20141101;3,02;3,03;1,46;1,37;6,00;6,00;3,61;4,09
20141201;2,98;3,00;1,00;1,17;5,65;5,87;3,08;4,02
20150101;2,93;3,00;1,10;1,21;5,42;5,99;3,32;4,15
20150201;2,83;3,00;1,20;1,20;5,16;5,90;3,18;4,13
20150301;2,88;2,92;1,08;1,02;4,95;5,49;3,12;3,62
20150401;2,73;2,98;1,00;1,00;5,00;5,64;3,16;3,89
20150501;2,96;2,98;1,29;1,22;4,91;5,34;3,26;3,80
20150601;3,00;3,00;1,40;1,29;5,76;5,59;3,47;3,79
20150701;2,96;2,96;1,29;1,12;5,73;5,57;3,18;3,74
20150801;2,79;2,87;1,00;1,10;5,19;5,53;3,07;3,71
20150901;2,73;2,84;1,04;1,00;4,71;5,42;3,16;3,26
20151001;2,82;2,78;1,03;1,00;5,19;5,17;3,06;3,15
20151101;2,55;2,68;1,00;1,00;4,73;5,05;3,05;3,14
20151201;2,54;2,78;1,00;1,00;4,73;5,08;3,10;3,13
20160101;2,42;2,45;1,00;0,90;4,71;4,59;2,95;3,04
20160201;2,71;2,62;1,00;1,00;5,14;5,05;3,11;3,39
20160301;2,53;2,50;1,00;1,00;4,49;4,71;3,09;3,10
20160401;2,61;2,79;1,06;1,00;5,08;5,49;3,09;3,15
20160501;2,62;2,73;1,00;1,00;5,00;5,24;3,14;3,10
20160601;2,54;2,86;1,00;1,00;4,89;5,31;3,14;3,65
20160701;2,52;2,50;1,00;1,00;5,08;5,27;3,23;3,44
20160801;2,79;2,71;1,00;1,00;5,28;5,56;3,10;3,42
20160901;2,50;2,62;1,00;1,00;4,81;5,24;3,04;3,55
20161001;2,59;2,58;1,00;1,00;5,11;5,50;3,08;3,22
20161101;2,54;2,71;1,00;1,00;4,75;5,34;3,11;3,10
20161201;2,81;2,83;1,00;1,00;5,19;5,58;3,17;3,82
20170101;2,98;2,90;1,00;1,00;5,08;5,55;3,13;3,82
20170201;2,96;2,98;1,00;1,00;5,31;5,64;3,13;3,69
20170301;2,74;2,71;1,00;1,00;4,71;5,42;3,10;3,10
20170401;2,79;2,91;1,01;1,00;4,85;5,60;3,03;3,18
20170501;2,59;2,47;1,00;0,96;4,42;5,08;3,07;3,08
20170601;2,54;2,78;1,00;1,00;4,00;4,83;2,99;3,50
20170701;2,54;2,71;1,00;1,00;4,14;4,91;3,00;3,18
